Entity Name,Github handle,Entity Package Name,Entity Submitted,KYC Complete,"Total Rewards [sum of Quest + Grants, paid out from community & ecosystem]",Quest Rewards,Grant Rewards,Foundation Ecosystem Delegation [Amber rewards],Community Delegation,Core Contributor Delegation,Strategic Partners & Reserve Delegation,Total Tokens Staked,% of stake,Cumulative % Stake
Warlord / Anchal,validator01,validator01,TRUE,TRUE,"65,000",,,"3,780,000","4,095,000","27,027,027","6,081,081","41,048,108",1.21%,66.70%
Staked,sriney-staked,sriney-staked,TRUE,TRUE,"65,000",,,"3,300,000","3,575,000","27,027,027","6,081,081","40,048,108",1.18%,67.88%
DELIGHT,caramis,caramis,TRUE,TRUE,"60,000",,,"3,300,000","3,575,000","27,027,027","6,081,081","40,043,108",1.18%,69.06%
Blockscale,lyoungblood,lyoungblood,TRUE,TRUE,"60,000",,,"3,060,000","3,315,000","27,027,027","6,081,081","39,543,108",1.16%,70.22%
Tesselated Geometry,keefertaylor,keefertaylor,TRUE,TRUE,"55,000",,,"3,060,000","3,315,000","27,027,027","6,081,081","39,538,108",1.16%,71.38%
Ankr,danielimkk,ankr-danielimkk,TRUE,TRUE,"55,000",,,"3,000,000","3,250,000","27,027,027","6,081,081","39,413,108",1.16%,72.54%
UbikCapital,ubikcapital,ubikcapital,TRUE,TRUE,"55,000",,,"2,760,000","2,990,000","27,027,027","6,081,081","38,913,108",1.14%,73.68%
Bambarello,bambarello,bambarello,TRUE,TRUE,"55,000",,,"2,760,000","2,990,000","27,027,027","6,081,081","38,913,108",1.14%,74.82%
Code-Breader,code-breader,code-breader,TRUE,TRUE,"55,000",,,"2,760,000","2,990,000","27,027,027","6,081,081","38,913,108",1.14%,75.97%
Wanderer,Wanderer-Cry,Wanderer-Cry,TRUE,TRUE,"50,000",,,"2,760,000","2,990,000","27,027,027","6,081,081","38,908,108",1.14%,77.11%
P2P,ponchik69,ponchik69,TRUE,TRUE,"50,000",,,"2,760,000","2,760,000","27,027,027","6,081,081","38,678,108",1.14%,78.25%
Polychain Labs,defunctzombie,defunctzombie,TRUE,TRUE,"50,000",,,"2,520,000","2,730,000","27,027,027","6,081,081","38,408,108",1.13%,79.37%
Rock,mohakagr,mohakagr,TRUE,TRUE,"40,000",,,"2,520,000","2,730,000","27,027,027","6,081,081","38,398,108",1.13%,80.50%
gunray,gunray88,gunray88,TRUE,TRUE,"30,000",,,"2,520,000","2,730,000","27,027,027","6,081,081","38,388,108",1.13%,81.63%
Arrington XRP Capital,ben-staked,ben-staked,TRUE,TRUE,"30,000",,,"2,040,000","2,210,000","27,027,027","6,081,081","37,388,108",1.10%,82.73%
C-Surgeon,c-surgeon,c-surgeon,TRUE,TRUE,"30,000",,,"1,500,000","1,625,000","27,027,027","6,081,081","36,263,108",1.07%,83.79%
Hashquark,flankerted,flankerted,TRUE,TRUE,"30,000",,,"1,500,000","1,625,000","27,027,027","6,081,081","36,263,108",1.07%,84.86%
Jazza,spdd,spdd,TRUE,TRUE,"25,000",,,"1,500,000","1,625,000","27,027,027","6,081,081","36,258,108",1.07%,85.92%
Tothemoon,aptemuyc,aptemuyc,TRUE,TRUE,"25,000",,,"1,500,000","1,625,000","27,027,027","6,081,081","36,258,108",1.07%,86.99%
RockX,calvinzhou-rockx,calvinzhou-rockx,TRUE,TRUE,"25,000",,,"1,260,000","1,365,000","27,027,027","6,081,081","35,758,108",1.05%,88.04%
Alexxxandr0,Alexxxandr0,Alexxxandr0,TRUE,TRUE,"15,000",,,"1,260,000","1,365,000","27,027,027","6,081,081","35,748,108",1.05%,89.09%
zeus,gspina,gspina,TRUE,TRUE,"15,000",,,"780,000","845,000","27,027,027","6,081,081","34,748,108",1.02%,90.11%
Max999,PowerMax999,PowerMax999,TRUE,TRUE,"15,000",,,"780,000","845,000","27,027,027","6,081,081","34,748,108",1.02%,91.13%
huglester,huglester,huglester,TRUE,TRUE,"15,000",,,"780,000","845,000","27,027,027","6,081,081","34,748,108",1.02%,92.15%
iToken Pool / lym,lymweb,lymweb,TRUE,TRUE,"15,000",,,"780,000","845,000","27,027,027","6,081,081","34,748,108",1.02%,93.17%
Joesixpack,joesixpack,joesixpack,TRUE,TRUE,"10,000",,,"480,000","520,000","27,027,027","6,081,081","34,118,108",1.00%,94.18%
deadmanswitch / Nick Merrill,elsehow,elsehow,TRUE,TRUE,"760,000",,,0,0,"27,027,027","6,081,081","33,868,108",0.99%,95.17%
Plex,jjangg96,jjangg96,TRUE,TRUE,"10,000",,,"300,000","325,000","27,027,027","6,081,081","33,743,108",0.99%,96.16%
Chainflow,chris-remus,chris-remus,TRUE,TRUE,"478,000",,,0,0,"27,027,027","6,081,081","33,586,108",0.99%,97.15%
jr,jrastit,jrastit,TRUE,TRUE,"10,000",,,0,0,"27,027,027","6,081,081","33,118,108",0.97%,98.12%
Infinity Stones,sili-infstones,sili-infstones,TRUE,TRUE,0,,,0,0,"27,027,027","6,081,081","33,108,108",0.97%,99.09%
THU-cdfa / Tsinghua University,xudoubles,xudoubles,TRUE,TRUE,0,,,"3,300,000","3,575,000",0,0,"6,875,000",0.20%,99.30%
"Centre for Distributed Ledger Technologies, University of Malta",CentreDLTUM,CentreDLTUM,TRUE,Not necessary -- delegation only,0,,,"2,520,000","2,730,000",0,0,5250000,0.15%,99.45%
SSSNodes,gxwuyingjun,,TRUE,FALSE,"45,000",,,"2,280,000",0,0,0,,,99.45%
Imperial College Blockchain Society,LRUki,LRUki_LBL_Imperial,TRUE,Not necessary -- delegation only,0,,,"2,520,000","2,730,000",0,0,5250000,0.15%,99.61%
Archibald,ostrovmaria80,,TRUE,FALSE,,,,"780,000",0,0,0,,,99.61%
slavaAa,slavaAa129,,TRUE,FALSE,,,,"780,000",0,0,0,,,99.61%
Frankfurt,kobrien,frankfurt-school-mainnet,TRUE,Not necessary -- delegation only,0,,,"2,520,000","2,730,000",0,0,5250000,0.15%,99.76%
MIT Digital Currency Initiative,kobrien,mit-digital-currency-initiative-mainnet,TRUE,Not necessary -- delegation only,0,,,"2,520,000","2,730,000",0,0,5250000,0.15%,99.91%
